,image_time,crop_time,human_len,ai_len,prob,similarity
3584,5.797490681502086,1.633,20,13,0.6370332837104797,0.4848484848484849
1334,1.0524914821124363,0.375,1,3,0.9589835405349731,0.0
3918,16.893409725814795,4.671,8,8,0.9998061656951904,1.0
2515,7.213243602202786,1.454,5,5,0.9999324083328248,1.0
3281,1.8561389420012746,0.443,1,6,0.20940855145454407,0.0
1339,12.82055640243902,2.405,7,6,0.3991757333278656,0.15384615384615385
2714,18.40316302022224,3.653,6,5,0.9996528029441832,0.9090909090909092
4251,4.5641143687908885,0.9,1,3,0.5162968039512634,0.0
3334,19.03952098138748,4.989,7,7,0.9734511375427246,1.0
1164,13.354385359001899,3.881,9,9,0.982268214225769,1.0
3832,5.018639277001553,1.011,7,7,0.9999797344207764,1.0
4020,10.35954138225256,2.678,8,8,0.9842997789382936,1.0
1217,1.702769797421731,0.388,1,1,0.23096615076065066,0.0
3339,8.353880823463058,2.189,16,15,0.9916782975196838,0.967741935483871
4326,6.844892912342679,2.04,4,4,0.9997329711914062,1.0
2378,20.688425329318783,5.247,10,9,0.971063494682312,0.9473684210526316
1153,1.3343933933933936,0.399,1,9,0.8826852440834045,0.0
2931,12.79407903580948,2.652,16,14,0.9979987144470216,0.9333333333333332
2572,5.870293249360362,1.178,12,10,0.8834546208381653,0.7272727272727273
154,2.26032924226254,0.491,1,12,0.4279215335845947,0.0
3458,11.85657030015798,1.919,4,4,0.9952683448791504,1.0
2803,19.93476857303056,4.522,4,4,0.988544225692749,1.0
1974,10.145473483738646,2.142,12,11,0.9950665235519408,0.9565217391304348
2682,12.96616208919765,2.903,5,5,0.9999977350234984,1.0
3153,15.227405700275819,2.364,7,7,0.9999605417251588,1.0
1546,10.232321957340023,2.217,11,9,0.9395416975021362,0.9
1288,13.466832626201402,2.03,15,14,0.8342031836509705,0.06896551724137931
2615,10.837099227708872,2.473,10,10,0.9894202351570128,1.0
1318,6.256201987281399,1.181,8,8,0.9996296763420104,1.0
2747,6.709763063422417,1.144,6,6,0.9999136328697203,0.8333333333333334
1395,10.546713125367864,1.982,16,15,0.9584494233131408,0.9032258064516128
2233,15.068998585072517,2.707,9,9,0.9999153614044191,1.0
4480,5.818619894179894,1.039,7,7,0.9958322048187256,1.0
4227,6.911512752646776,0.999,16,3,0.5649445056915283,0.10526315789473684
2119,13.306205323711621,2.78,18,11,0.7886791229248047,0.6896551724137931
2358,10.295968083038526,2.443,18,17,0.9295353889465332,0.8571428571428571
614,17.440972258064516,2.538,17,14,0.978480875492096,0.8387096774193549
1622,11.119166034748552,2.096,15,13,0.9910547733306884,0.9285714285714286
1138,10.567755978769902,2.114,8,8,0.99988454580307,1.0
3548,4.9485291113381,1.215,11,11,0.8794650435447693,1.0
2289,5.303923715503703,1.19,8,8,0.9997125267982484,1.0
936,9.40444369648072,2.044,9,8,0.9546377062797546,0.9411764705882352
755,12.147754880694142,2.835,5,5,0.9998275637626648,1.0
3349,9.488154633314384,2.664,7,7,0.6007116436958313,0.14285714285714285
1456,8.143871081941128,1.663,8,8,0.9999938011169434,1.0
3207,9.465635155709343,1.698,4,1,0.33936217427253723,0.0
2140,7.735110891659467,1.4,7,7,0.9996085166931152,0.8571428571428571
599,7.242697269761318,1.612,15,14,0.8292012214660645,0.06896551724137931
1826,22.61033471362388,2.838,5,5,0.9996830821037292,1.0
2431,23.79092876569997,4.181,6,6,0.9999122023582458,1.0
2224,5.554451268553044,1.565,8,8,0.9980517029762268,1.0
745,19.35631504089131,2.982,15,14,0.9530608654022216,0.9655172413793104
2918,6.523377629382304,1.631,10,10,0.9986745715141296,1.0
2841,8.448205357142857,1.565,6,6,0.9976167678833008,1.0
3190,12.269705169628434,2.121,5,3,0.6685497760772705,0.25
2836,17.21448636818409,2.143,5,5,0.9997040033340454,1.0
2822,6.252867435158501,1.061,6,7,0.9949682354927064,0.3076923076923077
3054,5.107028450505526,1.248,7,7,0.3386000990867615,0.8571428571428571
4320,16.323889789043076,2.461,7,11,0.9787392616271972,0.1111111111111111
3952,17.179491080870005,4.535,16,8,0.36932772397995,0.4166666666666667
2155,11.081855919395466,1.356,14,10,0.4581711292266846,0.6666666666666666
2021,7.0842384580905415,1.512,11,10,0.8868634104728699,0.9523809523809524
3450,16.19203799185889,3.744,6,6,0.92009699344635,0.3333333333333333
160,11.492198769966688,1.919,19,17,0.9786083102226256,0.7222222222222222
3330,11.848843725335438,2.003,16,15,0.8780999779701233,0.967741935483871
2071,15.216542615484713,1.704,14,12,0.8952070474624634,0.6923076923076923
232,3.384094903339192,1.167,1,8,0.34571048617362976,0.0
1801,14.702969526573552,5.896,5,5,0.9619662165641784,0.8
709,7.519747437860761,1.292,7,7,0.999904453754425,1.0
1410,13.19506230895838,2.4,10,9,0.9337477684020996,0.9473684210526316
2048,26.913338556104613,5.396,18,16,0.5902015566825867,0.5882352941176471
3308,8.266753246753247,1.14,8,8,0.8431519865989685,1.0
2369,10.185937753721245,2.084,9,9,0.9991403222084044,1.0
2498,5.409157630761881,1.204,13,12,0.9970304369926452,0.96
3312,6.714406125366844,1.409,11,11,0.9896617531776428,1.0
2519,6.994961127308065,1.41,15,14,0.9687036275863647,0.8965517241379308
3127,8.561983868199759,1.778,7,7,0.9997656345367432,1.0
3158,13.533324609255287,2.101,13,14,0.8765217661857605,0.8888888888888888
2219,21.81055930701841,3.768,13,11,0.97249573469162,0.9166666666666666
1248,7.441231970601745,2.064,2,1,0.2196706384420395,0.0
4126,16.39432342432967,4.9,6,6,0.9998602867126464,1.0
1112,14.717820142301766,3.451,5,5,0.9995372891426086,0.8
1721,24.770075844108373,2.35,6,6,0.9617285728454591,1.0
2402,6.8210747138846894,1.207,8,8,0.9991302490234376,1.0
1979,22.735198902521734,3.217,20,17,0.791245698928833,0.8108108108108109
255,2.878,0.44,1,6,0.5892030000686646,0.0
3328,10.58291633780584,1.789,4,4,0.7631297111511229,1.0
3135,8.233798924731184,1.239,6,6,0.9999902248382568,1.0
2593,7.279501140684411,1.248,16,16,0.9356526136398317,0.9375
181,3.5929525941230485,1.261,6,4,0.5106667280197144,0.0
1239,1.173330999363463,0.407,1,3,0.4799599349498749,0.0
1991,11.331198738170349,1.498,14,4,0.2789243459701538,0.0
