,crop_time,image_time,human_len,ai_len,prob,similarity,correct
268,2.521,13.779561664692945,8,8,0.9996386766433716,1.0,0
269,0.904,4.9411835560818815,6,7,0.9545749425888062,0.9230769230769232,1
270,1.489,8.101617844453218,6,8,0.5582257509231567,0.8571428571428571,1
271,4.648,25.28967074615081,7,7,0.9385998249053956,1.0,0
272,1.462,7.954711409395973,17,12,0.3545486927032471,0.0,1
273,0.473,2.0273601286173633,1,10,0.3868784308433533,0.0,1
274,0.448,1.9202057877813503,1,3,0.5632212162017822,0.0,1
275,0.422,1.8087652733118968,1,6,0.5328956842422485,0.0,1
276,0.523,2.241668810289389,1,7,0.2564199566841125,0.0,1
277,1.952,8.654236861805659,18,15,0.9961845278739928,0.7878787878787878,0
278,2.715,12.037014897439736,10,10,0.9998842477798462,1.0,0
279,3.232,14.329146279383142,4,4,0.9999879598617554,1.0,0
280,1.301,5.768013400209612,5,5,0.9986923336982728,1.0,0
281,1.608,7.129104955831711,5,5,0.9997586607933044,1.0,0
282,2.55,11.305483605330139,3,3,0.6227374672889711,1.0,0
283,1.12,3.921,1,3,0.34584856033325195,0.0,1
284,1.447,112.49878149335777,1,1,0.07907567918300629,0.0,1
285,0.359,27.910893266147504,1,3,0.4152589440345764,0.0,1
286,0.377,29.31032524049473,1,3,0.5553487539291382,0.0,1
287,1.543,7.591496548685563,5,5,0.5898985862731934,0.8,1
288,3.891,19.143559994125425,9,9,0.8512229919433594,0.8888888888888888,1
289,1.375,6.7649434571890135,18,16,0.8572503924369812,0.8823529411764706,1
290,1.246,8.495175891758917,3,3,0.52427738904953,0.6666666666666666,1
291,1.198,8.167913899138991,7,7,0.7673159837722778,0.8571428571428571,1
292,1.266,8.631535055350554,6,6,0.8834415674209595,0.8333333333333334,1
293,1.134,7.731564575645756,10,10,0.9546864628791808,0.9,1
294,0.847,5.7748105781057815,8,6,0.5087592601776123,0.5714285714285714,1
295,1.817,10.518027983274363,13,12,0.655593752861023,0.8,0
296,1.449,8.387794467674492,5,5,0.9991884231567384,1.0,0
297,1.617,9.360292376970085,5,5,0.9982180595397948,1.0,0
298,1.423,8.237288838854937,11,11,0.9589962959289552,1.0,0
299,1.502,8.694594403345127,9,9,0.9999945163726808,1.0,0
300,1.519,8.79300192988099,11,10,0.9949684143066406,0.9523809523809524,0
301,0.718,2.52,1,10,0.29991453886032104,0.0,1
302,3.821,13.360862626978504,4,4,0.5841379165649414,0.75,1
303,1.351,4.724031774155445,5,5,0.8952592015266418,1.0,1
304,3.294,11.518105598866052,6,6,0.9303659200668336,0.8333333333333334,1
305,5.344,36.65852320328542,8,8,0.9491797685623168,1.0,1
306,4.554,31.239317864476387,12,12,0.9712018370628356,1.0,0
307,3.652,25.05182012320329,17,14,0.9809638857841492,0.8387096774193549,0
308,2.345,16.086122176591378,11,11,0.9619208574295044,1.0,0
309,3.244,22.25304065708419,6,6,0.9999904036521912,1.0,0
312,0.402,1.7956713455953535,1,10,0.3162343204021454,0.0,1
313,0.363,1.6214644240077443,1,13,0.3630214929580689,0.0,1
314,0.381,1.7018676185866408,1,1,0.44336172938346863,0.0,1
315,0.41,1.8314060987415297,1,13,0.3059698641300201,0.0,1
316,0.487,2.175353097773476,1,3,0.3756977021694183,0.0,1
317,1.725,7.705306147144241,1,10,0.2945755422115326,0.0,1
318,0.364,1.6259312681510167,1,4,0.18426044285297394,0.0,1
319,1.152,10.239179487179488,9,9,0.9997951984405518,1.0,0
320,1.647,14.638826923076923,6,6,0.7225601673126221,1.0,0
321,1.851,16.452014957264957,6,6,0.9999260902404784,1.0,0
322,2.052,18.23853846153846,16,16,0.8657967448234558,0.625,1
323,1.722,15.30544017094017,11,11,0.9999520778656006,1.0,0
324,2.684,6.594574778325124,6,6,0.9400686621665956,0.0,1
325,1.44,3.538072906403941,6,11,0.6394662857055664,0.0,1
326,7.693,18.90166310344828,6,8,0.7480248212814331,0.0,1
327,1.092,2.683038620689655,10,4,0.9574525952339172,0.0,1
328,4.268,10.486454975369458,5,6,0.9972187876701356,0.0,1
329,0.908,2.230951527093596,6,8,0.9999870657920836,0.14285714285714285,1
330,2.215,5.442244088669951,6,7,0.9973329305648804,0.0,1
331,1.799,21.031067285382836,17,7,0.3681535124778748,0.3333333333333333,1
333,2.794,16.255699289660615,6,5,0.9995706677436828,0.9090909090909092,0
334,2.808,16.33715232833465,17,15,0.9483457207679749,0.9375,0
336,2.617,17.858573395964555,10,9,0.966948926448822,0.9473684210526316,0
337,2.286,15.599808476566672,7,7,0.9995533227920532,1.0,0
338,2.315,15.797706309384008,7,7,0.9893792271614076,1.0,0
339,1.307,8.919050603181383,13,12,0.9727174043655396,0.8,0
340,2.809,19.16879353047934,8,8,0.8451799154281616,1.0,0
341,2.423,16.534705135048576,13,13,0.5596278309822083,0.07692307692307693,0
342,3.056,20.85433714102701,7,7,0.9959650039672852,1.0,0
344,1.809,8.531198635028964,2,3,0.9888335466384888,0.0,0
345,4.268,20.127780969764302,10,3,0.9998236894607544,0.0,0
346,1.948,9.186719149273868,6,3,0.9996694922447203,0.0,0
347,1.487,7.0126547099436545,6,3,0.4820646941661834,0.2222222222222222,0
348,1.414,6.668388540592017,7,3,0.8635718822479248,0.2,0
349,1.675,7.899257995397193,8,3,0.8648474216461182,0.0,0
350,1.028,6.119965570242853,5,8,0.7279511094093323,0.0,1
351,1.2,7.1439286812173375,11,12,0.9738971590995787,0.0,1
352,1.025,6.10210574853981,5,8,0.9998815059661864,0.0,1
353,1.249,5.254179872204473,1,3,0.1307222843170166,0.0,1
354,0.393,1.6532367412140576,1,3,0.3005591034889221,0.0,1
355,0.737,3.1003447284345054,1,6,0.3017962574958801,0.0,1
356,0.347,1.4597281150159744,1,7,0.6979419589042664,0.0,1
357,0.404,1.6995105431309905,1,5,0.9574330449104308,0.0,1
358,2.997,19.47354086088584,5,5,0.9999544024467468,1.0,0
359,2.267,14.730235946489222,9,9,0.9999937415122986,1.0,0
360,1.984,12.891393082414918,6,6,0.9999850988388062,1.0,0
361,3.471,22.553440216261176,10,8,0.9924575090408324,0.8888888888888888,0
362,3.708,24.093389893948846,17,17,0.9603572487831116,1.0,1
363,0.409,1.51230029546065,1,4,0.9302698373794556,0.0,1
364,0.43,1.5899489658877246,1,5,0.8963561058044434,0.0,1
365,0.409,1.51230029546065,1,1,0.24128413200378415,0.0,1
366,0.639,2.362738114423852,1,17,0.39344194531440735,0.0,1
